Bee_ID,Bee_Name,Hive,Population,Wing_Span,Honey_Prod,Has_Antenna,Found_On,Temp_C,Speed
1,Buzzy,Alpha,120,15.4,320,TRUE,2087-03-21,-65,5.6
2,RedBee,Beta,95,14.8,280,TRUE,2087-04-10,-70,6.2
3,Zorp,Gamma,80,13.5,240,FALSE,2087-05-05,-55,4.9
4,Stingy,Delta,150,16.2,400,TRUE,2087-06-18,-60,7.1
5,Fizz,Alpha,130,15.0,350,FALSE,2087-07-30,-62,5.9
6,MarsBee,Beta,85,14.5,270,TRUE,2087-08-15,-68,6.5
7,Bzzzt,Gamma,70,13.2,230,TRUE,2087-09-22,-58,4.8
8,DroneBoi,Delta,160,16.8,420,FALSE,2087-10-03,-64,7.3
9,Pollux,Alpha,140,15.7,380,TRUE,2087-11-11,-66,6.0
10,NectarX,Beta,110,14.2,310,TRUE,2087-12-25,-63,5.4
11,Zap,Gamma,75,13.8,250,FALSE,2088-01-17,-61,5.1
12,Floaty,Delta,155,16.5,410,TRUE,2088-02-20,-67,7.0
13,Dusty,Alpha,125,14.9,330,TRUE,2088-03-10,-69,6.3
14,OrbitBee,Beta,90,13.9,260,FALSE,2088-04-01,-56,4.7
15,WheeBee,Gamma,105,14.4,290,TRUE,2088-05-05,-60,5.8
